"EA-Type";"EA-Package";"EA-Name";"EA-Parent";"EA-Domain";"EA-Range";"label-nl";"ap-definition-nl";"ap-usageNote-nl";"ap-codelist";"external term";"namespace";"localname";"type";"domain";"range";"parent";"min card";"max card"
"attribute";"OSLO-Generiek";"taal";;"FormeelKader";"NAL_language";"TODO";"TODO";;;"true";"http://data.europa.eu/eli/ontology#";"language";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://purl.org/vocab/cpsv#FormalFramework";"http://fixme.com#NAL_language";;0;"*"
"attribute";"OSLO-Generiek";"toepassingsgebied";;"FormeelKader";"NUTS";"TODO";"TODO";;;"true";"http://data.europa.eu/m8g/";"territorialApplication";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://purl.org/vocab/cpsv#FormalFramework";"http://fixme.com#NUTS";;0;"*"
"attribute";"OSLO-Generiek";"type";;"FormeelKader";"NAL_resource";"TODO";"TODO";;;"true";"http://purl.org/dc/terms/";"type";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://purl.org/vocab/cpsv#FormalFramework";"http://fixme.com#NAL_resource";;0;"*"
"attribute";"OSLO-Organisatie";"DatumStopzetting";;"Stopzetting";;"Datum Stopzetting";"Datum waarop de Organisatie is stopgezet.";;;"false";"http://data.vlaanderen.be/ns/";"organisatieDatumStopzetting";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://data.vlaanderen.be/ns/organisatieStopzetting";;;0;1
"attribute";"OSLO-Organisatie";"RedenStopzetting";;"Stopzetting";"StopzettingType";"Reden Stopzetting";"Reden waarom de Organisatie is stopgezet.";;;"false";"http://data.vlaanderen.be/ns/";"organisatieRedenStopzetting";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://data.vlaanderen.be/ns/organisatieStopzetting";"http://www.w3.org/2004/02/skos/core#Concept";;0;1
"attribute";"OSLO-Organisatie";"OIprichtingsDatum";;"Oprichting";;"Oprichtingsdatum";"Datum waarop de Organisatie is opgericht.";;;"false";"http://data.vlaanderen.be/ns/";"organisatieOIprichtingsDatum";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://data.europa.eu/m8g/FoundationEvent";;;0;1
"attribute";"OSLO-Organisatie";"beschrijving";;"PubliekeOrganisatie";"String";"Beschrijving";"Beschrijving van de Publieke Organisatie.";;;"true";"http://purl.org/dc/terms/";"description";"http://www.w3.org/2002/07/owl#DatatypeProperty";"http://data.europa.eu/m8g/PublicOrganisation";"http://www.w3.org/2001/XMLSchema#string";;1;1
"attribute";"OSLO-Organisatie";"homepage";;"PubliekeOrganisatie";"String";"Homepage";"Adres vd homepage van de website vd Publieke Organisatie.";;;"true";"http://xmlns.com/foaf/0.1/";"homepage";"http://www.w3.org/2002/07/owl#DatatypeProperty";"http://data.europa.eu/m8g/PublicOrganisation";"http://www.w3.org/2001/XMLSchema#string";;0;1
"attribute";"OSLO-Organisatie";"logo";;"PubliekeOrganisatie";;"Logo";"Verwijzing naar het logo vd Publieke Organisatie.";;;"true";"http://schema.org/";"logo";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://data.europa.eu/m8g/PublicOrganisation";;;0;1
"attribute";"OSLO-Organisatie";"werkingsgebied";;"PubliekeOrganisatie";"ATU";"Werkingsgebied";"Administratief gebied dat de Publieke Organisatie dekt.";;;"true";"http://purl.org/dc/terms/";"spatial";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://data.europa.eu/m8g/PublicOrganisation";"http://fixme.com#ATU";;0;"*"
